Time;MEAN;MAX;MIN;RANGE;KURT;SKEW;ALSC;INSC;RMSC;condition
11,18333333;7,937573575;9,533309937;6,888580322;2,644729614;-1,100738427;0,463193512;210002,6889;1666890,451;7,975820932;baseline
11,2;7,929162062;9,533309937;6,888580322;2,644729614;-1,092762415;0,468650884;210002,6943;1665124,033;7,967172985;baseline
11,21666667;7,920720584;9,512710571;6,888580322;2,624130249;-1,085321044;0,473735208;210002,6979;1663351,323;7,958488305;baseline
11,23333333;7,912280172;9,498977661;6,888580322;2,610397339;-1,077983647;0,478657634;210002,7042;1661578,836;7,949802449;baseline
11,25;7,903871838;9,465026855;6,873321533;2,591705322;-1,070174005;0,48365728;210002,7051;1659813,086;7,941152522;baseline
11,26666667;7,895522521;9,465026855;6,873321533;2,591705322;-1,061531568;0,488924841;210002,711;1658059,729;7,932568033;baseline
11,28333333;7,887233046;9,465026855;6,872940063;2,592086792;-1,05249168;0,494404702;210002,7212;1656318,94;7,924042007;baseline
11,3;7,87902959;9,436035156;6,872940063;2,563095093;-1,042530288;0,500301447;210002,7234;1654596,214;7,915606328;baseline
11,31666667;7,870880537;9,436035156;6,872940063;2,563095093;-1,032066234;0,506398461;210002,7318;1652884,913;7,907225089;baseline
11,33333333;7,862724413;9,436035156;6,86378479;2,572250366;-1,021826017;0,512283284;210002,7454;1651172,127;7,898831332;baseline
11,35;7,854568173;9,436035156;6,86378479;2,572250366;-1,011810711;0,517986937;210002,7594;1649459,316;7,890431804;baseline
11,36666667;7,846364528;9,436035156;6,621170044;2,814865112;-1,003208481;0,523072441;210002,8562;1647736,551;7,881966921;baseline
11,38333333;7,838151997;9,436035156;6,621170044;2,814865112;-0,995253282;0,527843942;210002,8636;1646011,919;7,873485115;baseline
11,4;7,829930324;9,410858154;6,621170044;2,78968811;-0,987836211;0,532305433;210002,8692;1644285,368;7,864988919;baseline
11,41666667;7,821762708;9,410858154;6,621170044;2,78968811;-0,979858932;0,536953636;210002,8739;1642570,169;7,8565498;baseline
11,43333333;7,813563227;9,410858154;6,621170044;2,78968811;-0,972823218;0,541101476;210002,8794;1640848,278;7,848071482;baseline
11,45;7,805366029;9,410858154;6,621170044;2,78968811;-0,966097481;0,545020126;210002,8827;1639126,866;7,839593615;baseline
11,46666667;7,797212717;9,410858154;6,621170044;2,78968811;-0,958841882;0,549063192;210002,8904;1637414,671;7,83116397;baseline
